"","EMTP","EMSECSM","WAPRSM3","WASCSM3","RACETHM","EMST_TOGA","SEX_2023","DGRDG","HDADV","HDCAR","HDCHG","HDEM","HDGRD","HDINT","HDOT","HDSKL","NDGMENG","NDGMEMG","HDCRN21C","EDDAD","EDMOM","N2DGRMED","FACADV","FACBEN","FACCHAL","FACIND","FACLOC","FACRESP","FACSAL","FACSEC","FACSOC","N3OCPRNG","N2OCPRMG","Years_To_First_Job","AGE","WKSWK","HRSWK","SALARY"
"12711","10","3","1","1","5","85","F","1","L","L","L","L","L","L","L","L","23","2","16","5","4","236800","1","1","2","1","1","1","1","1","1","32","3","2",21,52,40,65000
"12712","03","1","3","1","1","85","F","2","L","L","L","L","L","L","L","L","76","7","15","3","3","768000","1","2","1","1","2","1","2","2","1","78","7","8",27,52,35,54000
"12713","10","3","4","1","1","85","F","1","L","L","L","L","L","L","L","L","54","5","L","4","4","547270","1","1","2","2","2","1","1","1","2","64","6","0",24,52,38,97000
"12714","04","1","1","1","1","97","M","2","L","L","L","L","L","L","L","L","11","1","15","5","7","116730","1","1","1","2","2","2","1","2","2","22","2","3",23,52,30,37000
"12715","10","3","6","3","5","85","F","4","L","L","L","L","L","L","L","L","61","6","26","6","5","617890","1","1","2","1","1","2","1","1","2","61","6","6",29,52,46,90000
"12716","10","3","5","1","4","85","M","1","L","L","L","L","L","L","L","L","55","5","15","2","2","557330","1","1","1","1","1","1","1","1","1","64","6","0",23,52,60,105000
"12717","10","3","1","1","5","85","M","3","L","L","L","L","L","L","L","L","52","5","15","7","4","527250","1","2","1","2","3","2","1","3","3","57","5","10",30,52,40,150000
"12718","10","3","1","4","5","98","F","2","L","L","L","L","L","L","L","L","22","2","15","4","4","226420","2","1","2","1","1","2","1","2","2","12","1","5",25,52,40,107000
"12719","05","1","1","7","1","87","M","1","L","L","L","L","L","L","L","L","31","3","L","2","1","318730","2","1","2","2","2","2","1","2","2","31","3","5",25,34,20,18000
"12720","05","1","1","2","5","87","F","2","L","L","L","L","L","L","L","L","33","3","15","2","2","338780","2","2","1","1","1","2","1","2","2","33","3","0",25,52,20,24000
"12721","17","2","6","7","5","98","F","2","L","L","L","L","L","L","L","L","43","4","15","7","5","438910","2","1","1","1","1","1","1","1","1","61","6","7",27,52,40,26000
"12722","10","3","1","4","3","87","M","1","L","L","L","L","L","L","L","L","11","1","15","5","5","116760","1","1","1","1","2","1","1","1","1","11","1","0",22,52,40,90000
